Country,Animal fats,Animal Products,Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Miscellaneous,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Sugar & Sweeteners,Treenuts,Vegetable Oils,Vegetal Products,Death rate
Afghanistan,0.1973,9.4341,24.8097,0.2099,0.035,5.3495,1.202,7.5828,0.0728,0.2057,0.07,0.2953,0.0574,0.8802,0.3078,1.3489,0.077,0.5345,40.5645,0.006185779
Albania,0.1357,18.7684,5.7817,0.5815,0.2126,6.7861,1.8845,15.7213,0.1123,0.2324,0.9377,0.238,8.00E-04,1.8096,0.1055,1.5367,0.1515,0.3261,31.2304,0.050951374
Algeria,0.0282,9.6334,13.6816,0.5277,0.2416,6.3801,1.1305,7.6189,0.1671,0.087,0.3493,0.4783,0.0557,4.134,0.2216,1.8342,0.1152,1.031,40.3651,0.006558153
Angola,0.056,4.9278,9.1085,0.0587,1.7707,6.0005,2.0571,0.8311,0.1165,0.155,0.4186,0.6507,9.00E-04,18.1102,0.0508,1.8495,0.0061,0.6463,45.0722,0.00146055
Antigua and Barbuda,0.0087,16.6613,5.996,0.2274,4.1489,10.7451,5.6888,6.3663,0.7139,0.2219,0.2172,0.184,0.1524,1.4522,0.1564,3.8749,0.0253,0.8102,33.3233,0.007142857
Argentina,0.2234,19.3454,8.4102,0.9979,0.4693,6.0435,7.0421,10.2328,0,0.3779,0.0116,0.0528,0.0122,3.042,0.4378,3.0536,0.02,0.9541,30.6559,0.108226635
Armenia,0.1833,13.564,7.2982,0.5783,0.2896,6.0989,2.2675,9.9407,0.2355,0.304,0.0899,0.1441,0.0055,2.0359,0.1863,2.6579,0.1108,0.4705,36.4358,0.105345061
Australia,0.3143,21.4175,5.4979,0.4428,1.4264,4.1883,6.7049,12.1018,0.5293,0.424,0.3694,0.0546,0.0458,2.7884,0.2928,2.5364,0.3176,1.2798,28.5806,0.003529549
Austria,0.8555,19.5654,6.2116,0.7884,0.7562,4.6069,4.681,12.3776,5.00E-04,0.1052,0.2683,0.0456,0.0494,3.0548,0.4106,2.6094,0.2367,0.8109,30.4338,0.089679156
Azerbaijan,0.2544,11.6416,13.0898,0.5593,0.202,4.7988,2.1513,8.3212,0.0145,0.1534,0.0145,0.0347,0.0044,4.7041,0.0587,1.5523,0.1906,0.2235,38.3584,0.031222794
Bahamas,0.0062,11.4718,3.7246,0.625,2.4144,13.2718,5.9269,2.1757,2.9316,0.3218,0.6993,0.0504,0.0884,1.0547,0.1556,6.2151,0.0495,0.511,38.5229,0.044783715
Bangladesh,0.0156,5.1926,29.8045,0.2957,2.5221,2.8655,0.4191,1.8778,0.0197,0.0633,0.082,0.7065,0.3195,5.3378,0.0529,0.9285,0.0934,0.7615,44.8033,0.004823066
Barbados,0.2212,12.4976,8.0666,0.7792,3.275,5.8723,5.8477,2.2041,3.302,0.1704,0.8734,0.6391,0.1565,4.0812,0.1721,4.3344,0.0852,0.8677,37.5167,0.006271777
Belarus,0.3353,12.7089,6.2814,0.7565,0.8372,3.5665,4.1893,6.2104,0.5035,0.3795,0.072,0.001,0.0067,9.1691,0.1142,4.0155,0.1399,0.8804,37.2904,0.018912
Belgium,0.8559,17.7279,6.6704,0.6487,1.1325,4.1623,3.237,11.6344,0,0.2185,0.0965,0.1132,0.0409,4.4157,0.2461,3.6514,0.1309,0.564,32.2637,0.185427703
Belize,0.0832,8.6856,11.07,0.3923,1.0325,12.6094,3.489,3.6317,1.7653,0.0569,0.394,1.1259,0.0195,1.0614,0.0849,3.9798,0.034,1.0198,41.3122,0.073031026
Benin,0.0132,3.7504,9.623,0.0711,1.2267,2.9523,1.4107,0.9458,0.145,0.0829,0.6628,0.7367,0.4461,19.7771,0.0042,0.6635,0.4028,0.7381,46.2493,0.000450487
Bolivia,0.0889,11.7799,12.3079,0.6626,0.2307,7.5088,6.4098,4.2873,0.1661,0.1006,0.1374,0.3654,0.0422,7.7315,0.2083,2.5724,0.7084,0.3573,38.2165,0.092435313
Bosnia and Herzegovina,0.0585,12.4319,8.7152,0.2576,0.2465,4.6409,1.8165,9.9443,0.486,0.1089,0.0963,0.2718,0.3922,4.0495,0.3504,1.6391,0.0822,0.4205,37.5645,0.145534898
